Central NWS Region, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,34.4,4.4
200002,43.5,8.7
200003,52.3,7.4
200004,60.3,2.1
200005,72.3,2.9
200006,77.9,-0.8
200007,84.0,-0.7
200008,85.0,2.4
200009,75.6,1.6
200010,64.0,2.0
200011,39.8,-5.5
200012,25.6,-7.8
200101,33.6,3.6
200102,31.8,-3.0
200103,43.6,-1.3
200104,61.7,3.5
200105,71.2,1.8
200106,78.8,0.1
200107,85.9,1.2
200108,85.0,2.4
200109,74.4,0.4
200110,61.6,-0.4
200111,55.1,9.8
200112,38.9,5.5
200201,37.3,7.3
200202,41.2,6.4
200203,41.2,-3.7
200204,59.9,1.7
200205,67.3,-2.1
200206,82.5,3.8
200207,88.0,3.3
200208,82.9,0.3
200209,76.4,2.4
200210,54.5,-7.5
200211,45.3,0.0
200212,38.4,5.0
200301,32.8,2.8
200302,32.3,-2.5
200303,47.0,2.1
200304,60.9,2.7
200305,68.6,-0.8
200306,76.3,-2.4
200307,86.5,1.8
200308,86.2,3.6
200309,73.2,-0.8
200310,65.1,3.1
200311,44.1,-1.2
200312,37.8,4.4
200401,29.9,-0.1
200402,35.4,0.6
200403,51.2,6.3
200404,61.3,3.1
200405,70.1,0.7
200406,76.2,-2.5
200407,81.4,-3.3
200408,78.0,-4.6
200409,76.4,2.4
200410,61.7,-0.3
200411,48.4,3.1
200412,37.6,4.2
200501,31.7,1.7
200502,41.0,6.2
200503,46.8,1.9
200504,61.9,3.7
200505,68.2,-1.2
200506,80.4,1.7
200507,86.4,1.7
200508,82.9,0.3
200509,78.4,4.4
200510,63.3,1.3
200511,50.1,4.8
200512,32.2,-1.2
200601,42.4,12.4
200602,36.8,2.0
200603,46.6,1.7
200604,65.3,7.1
200605,71.3,1.9
200606,81.8,3.1
200607,88.1,3.4
200608,83.3,0.7
200609,70.4,-3.6
200610,58.1,-3.9
200611,48.9,3.6
200612,39.7,6.3
200701,32.0,2.0
200702,29.8,-5.0
200703,53.3,8.4
200704,57.2,-1.0
200705,73.0,3.6
200706,80.7,2.0
200707,85.7,1.0
200708,84.8,2.2
200709,76.7,2.7
200710,64.9,2.9
200711,48.9,3.6
200712,31.8,-1.6
200801,30.8,0.8
200802,33.0,-1.8
200803,44.9,0.0
200804,57.0,-1.2
200805,67.3,-2.1
200806,78.4,-0.3
200807,84.6,-0.1
200808,82.1,-0.5
200809,73.8,-0.2
200810,61.4,-0.6
200811,47.3,2.0
200812,31.1,-2.3
200901,30.1,0.1
200902,39.0,4.2
200903,47.2,2.3
200904,56.9,-1.3
200905,69.6,0.2
200906,77.0,-1.7
200907,79.8,-4.9
200908,79.9,-2.7
200909,74.9,0.9
200910,52.4,-9.6
200911,52.8,7.5
200912,28.9,-4.5
201001,28.8,-1.2
201002,31.0,-3.8
201003,49.3,4.4
201004,63.8,5.6
201005,68.3,-1.1
201006,79.5,0.8
201007,84.7,0.0
201008,85.0,2.4
201009,74.7,0.7
201010,66.1,4.1
201011,47.4,2.1
201012,31.7,-1.7
201101,28.1,-1.9
201102,33.4,-1.4
201103,44.7,-0.2
201104,57.4,-0.8
201105,66.6,-2.8
201106,79.0,0.3
201107,87.5,2.8
201108,84.6,2.0
201109,73.6,-0.4
201110,64.2,2.2
201111,49.1,3.8
201112,38.2,4.8
201201,38.9,8.9
201202,39.5,4.7
201203,60.8,15.9
201204,63.3,5.1
201205,74.3,4.9
201206,83.7,5.0
201207,90.7,6.0
201208,84.7,2.1
201209,76.3,2.3
201210,59.4,-2.6
201211,49.5,4.2
201212,37.0,3.6
201301,33.6,3.6
201302,35.1,0.3
201303,41.8,-3.1
201304,52.9,-5.3
201305,69.5,0.1
201306,79.4,0.7
201307,83.3,-1.4
201308,82.8,0.2
201309,77.1,3.1
201310,59.2,-2.8
201311,45.3,0.0
201312,30.1,-3.3
201401,30.4,0.4
201402,28.8,-6.0
201403,43.5,-1.4
201404,58.2,0.0
201405,69.8,0.4
201406,78.3,-0.4
201407,81.4,-3.3
201408,81.1,-1.5
201409,73.9,-0.1
201410,63.3,1.3
201411,40.8,-4.5
201412,36.1,2.7
201501,34.1,4.1
201502,31.6,-3.2
201503,51.1,6.2
201504,61.6,3.4
201505,67.8,-1.6
201506,79.6,0.9
201507,83.0,-1.7
201508,81.5,-1.1
201509,79.1,5.1
201510,64.3,2.3
201511,50.3,5.0
201512,39.6,6.2
201601,32.3,2.3
201602,41.2,6.4
201603,53.2,8.3
201604,59.4,1.2
201605,69.2,-0.2
201606,83.1,4.4
201607,84.5,-0.2
201608,82.5,-0.1
201609,76.1,2.1
201610,65.9,3.9
201611,55.1,9.8
201612,32.1,-1.3
201701,32.6,2.6
201702,44.7,9.9
201703,49.8,4.9
201704,60.7,2.5
201705,68.7,-0.7
201706,81.2,2.5
201707,86.2,1.5
201708,79.6,-3.0
201709,76.0,2.0
201710,63.0,1.0
201711,48.2,2.9
201712,35.3,1.9
201801,32.7,2.7
201802,33.8,-1.0
201803,46.1,1.2
201804,52.9,-5.3
201805,76.4,7.0
201806,82.1,3.4
201807,84.7,0.0
201808,82.5,-0.1
201809,75.5,1.5
201810,57.7,-4.3
201811,40.5,-4.8
201812,37.1,3.7
201901,31.0,1.0
201902,28.6,-6.2
201903,41.5,-3.4
201904,59.1,0.9
201905,65.0,-4.4
201906,78.1,-0.6
201907,84.7,0.0
201908,81.4,-1.2
201909,77.3,3.3
201910,56.5,-5.5
201911,43.3,-2.0
201912,37.6,4.2
202001,34.5,4.5
202002,36.5,1.7
202003,49.4,4.5
202004,57.4,-0.8
202005,67.9,-1.5
202006,82.4,3.7
202007,85.8,1.1
202008,84.4,1.8
202009,73.9,-0.1
202010,57.9,-4.1
202011,52.9,7.6
202012,39.2,5.8
202101,35.2,5.2
202102,27.2,-7.6
202103,52.4,7.5
202104,58.8,0.6
202105,68.4,-1.0
202106,84.0,5.3
202107,85.4,0.7
202108,84.5,1.9
202109,78.8,4.8
202110,64.6,2.6
202111,50.5,5.2
202112,42.0,8.6
202201,31.9,1.9
