Western NWS Region, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,43.7,4.1
200002,47.8,3.4
200003,53.3,2.5
200004,65.0,5.2
200005,71.3,2.7
200006,80.5,3.0
200007,86.6,1.2
200008,86.1,2.3
200009,76.4,0.7
200010,62.4,-1.6
200011,44.2,-5.7
200012,43.2,1.9
200101,41.6,2.0
200102,42.5,-1.9
200103,54.8,4.0
200104,58.8,-1.0
200105,75.4,6.8
200106,79.4,1.9
200107,85.1,-0.3
200108,87.9,4.1
200109,80.5,4.8
200110,66.4,2.4
200111,53.4,3.5
200112,40.4,-0.9
200201,41.6,2.0
200202,48.0,3.6
200203,49.1,-1.7
200204,61.7,1.9
200205,69.3,0.7
200206,81.1,3.6
200207,89.3,3.9
200208,84.1,0.3
200209,77.3,1.6
200210,62.1,-1.9
200211,52.9,3.0
200212,43.6,2.3
200301,48.7,9.1
200302,45.0,0.6
200303,53.1,2.3
200304,57.9,-1.9
200305,69.9,1.3
200306,80.5,3.0
200307,91.1,5.7
200308,86.8,3.0
200309,79.0,3.3
200310,70.3,6.3
200311,46.1,-3.8
200312,43.1,1.8
200401,40.1,0.5
200402,43.3,-1.1
200403,60.2,9.4
200404,63.4,3.6
200405,69.6,1.0
200406,79.2,1.7
200407,86.7,1.3
200408,83.7,-0.1
200409,75.2,-0.5
200410,62.2,-1.8
200411,49.5,-0.4
200412,44.4,3.1
200501,42.0,2.4
200502,47.6,3.2
200503,54.0,3.2
200504,60.2,0.4
200505,69.1,0.5
200506,75.1,-2.4
200507,88.9,3.5
200508,85.2,1.4
200509,75.9,0.2
200510,64.8,0.8
200511,52.3,2.4
200512,42.5,1.2
200601,45.5,5.9
200602,47.4,3.0
200603,48.4,-2.4
200604,61.1,1.3
200605,73.0,4.4
200606,82.1,4.6
200607,89.9,4.5
200608,84.7,0.9
200609,76.2,0.5
200610,62.6,-1.4
200611,51.5,1.6
200612,43.4,2.1
200701,40.9,1.3
200702,46.5,2.1
200703,58.7,7.9
200704,61.7,1.9
200705,72.5,3.9
200706,80.9,3.4
200707,90.2,4.8
200708,85.9,2.1
200709,75.9,0.2
200710,63.2,-0.8
200711,54.2,4.3
200712,39.7,-1.6
200801,38.5,-1.1
200802,46.0,1.6
200803,52.2,1.4
200804,59.0,-0.8
200805,68.2,-0.4
200806,78.9,1.4
200807,87.1,1.7
200808,85.9,2.1
200809,78.2,2.5
200810,65.8,1.8
200811,54.8,4.9
200812,39.5,-1.8
200901,44.5,4.9
200902,46.1,1.7
200903,51.5,0.7
200904,59.8,0.0
200905,72.9,4.3
200906,75.7,-1.8
200907,87.5,2.1
200908,84.6,0.8
200909,81.4,5.7
200910,59.4,-4.6
200911,53.7,3.8
200912,37.1,-4.2
201001,42.5,2.9
201002,45.0,0.6
201003,53.4,2.6
201004,58.3,-1.5
201005,63.8,-4.8
201006,76.8,-0.7
201007,86.0,0.6
201008,83.6,-0.2
201009,78.0,2.3
201010,65.4,1.4
201011,48.2,-1.7
201012,42.7,1.4
201101,42.3,2.7
201102,42.5,-1.9
201103,50.8,0.0
201104,56.9,-2.9
201105,64.1,-4.5
201106,75.6,-1.9
201107,84.6,-0.8
201108,86.9,3.1
201109,80.7,5.0
201110,65.0,1.0
201111,49.4,-0.5
201112,43.5,2.2
201201,46.3,6.7
201202,46.4,2.0
201203,54.8,4.0
201204,63.4,3.6
201205,71.2,2.6
201206,79.6,2.1
201207,87.1,1.7
201208,87.8,4.0
201209,80.6,4.9
201210,65.1,1.1
201211,53.6,3.7
201212,41.1,-0.2
201301,39.6,0.0
201302,45.6,1.2
201303,55.6,4.8
201304,60.7,0.9
201305,71.0,2.4
201306,81.2,3.7
201307,88.4,3.0
201308,85.5,1.7
201309,75.8,0.1
201310,62.1,-1.9
201311,51.9,2.0
201312,40.5,-0.8
201401,47.9,8.3
201402,46.1,1.7
201403,54.5,3.7
201404,62.1,2.3
201405,71.4,2.8
201406,79.2,1.7
201407,88.6,3.2
201408,83.0,-0.8
201409,78.1,2.4
201410,68.7,4.7
201411,51.0,1.1
201412,44.2,2.9
201501,46.7,7.1
201502,53.1,8.7
201503,60.8,10.0
201504,62.5,2.7
201505,68.1,-0.5
201506,84.6,7.1
201507,84.7,-0.7
201508,86.2,2.4
201509,78.6,2.9
201510,68.4,4.4
201511,48.5,-1.4
201512,41.2,-0.1
201601,41.7,2.1
201602,52.2,7.8
201603,56.1,5.3
201604,64.1,4.3
201605,69.1,0.5
201606,83.2,5.7
201607,86.4,1.0
201608,85.5,1.7
201609,75.4,-0.3
201610,64.2,0.2
201611,55.7,5.8
201612,39.3,-2.0
201701,37.6,-2.0
201702,46.1,1.7
201703,56.5,5.7
201704,60.1,0.3
201705,71.1,2.5
201706,81.8,4.3
201707,89.8,4.4
201708,87.0,3.2
201709,75.9,0.2
201710,65.1,1.1
201711,53.7,3.8
201712,45.3,4.0
201801,46.8,7.2
201802,44.2,-0.2
201803,51.3,0.5
201804,62.0,2.2
201805,72.5,3.9
201806,80.3,2.8
201807,89.0,3.6
201808,86.0,2.2
201809,78.0,2.3
201810,62.5,-1.5
201811,51.3,1.4
201812,42.4,1.1
201901,43.7,4.1
201902,36.8,-7.6
201903,50.3,-0.5
201904,61.7,1.9
201905,65.7,-2.9
201906,78.6,1.1
201907,85.6,0.2
201908,86.6,2.8
201909,74.9,-0.8
201910,60.1,-3.9
201911,53.2,3.3
201912,42.2,0.9
202001,43.8,4.2
202002,48.2,3.8
202003,51.7,0.9
202004,61.5,1.7
202005,71.9,3.3
202006,78.4,0.9
202007,87.2,1.8
202008,89.0,5.2
202009,81.1,5.4
202010,68.1,4.1
202011,52.8,2.9
202012,45.1,3.8
202101,44.4,4.8
202102,43.9,-0.5
202103,53.6,2.8
202104,63.7,3.9
202105,70.9,2.3
202106,86.1,8.6
202107,90.6,5.2
202108,85.3,1.5
202109,79.5,3.8
202110,62.8,-1.2
202111,56.1,6.2
202112,42.0,0.7
202201,44.9,5.3
