Western NWS Region, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.98,0.24
200002,3.20,0.86
200003,1.80,-0.37
200004,1.27,-0.28
200005,1.43,-0.04
200006,0.95,-0.30
200007,0.52,-0.40
200008,0.80,-0.17
200009,0.92,-0.15
200010,2.43,0.93
200011,1.14,-1.12
200012,1.15,-1.46
200101,1.77,-0.97
200102,1.80,-0.54
200103,1.65,-0.52
200104,1.82,0.27
200105,0.70,-0.77
200106,1.27,0.02
200107,1.12,0.20
200108,0.65,-0.32
200109,0.54,-0.53
200110,1.31,-0.19
200111,2.69,0.43
200112,3.13,0.52
200201,2.22,-0.52
200202,1.27,-1.07
200203,1.71,-0.46
200204,1.31,-0.24
200205,0.97,-0.50
200206,1.04,-0.21
200207,0.64,-0.28
200208,0.58,-0.39
200209,1.02,-0.05
200210,0.56,-0.94
200211,1.73,-0.53
200212,3.59,0.98
200301,2.25,-0.49
200302,1.95,-0.39
200303,2.67,0.50
200304,2.43,0.88
200305,1.36,-0.11
200306,0.58,-0.67
200307,0.46,-0.46
200308,0.90,-0.07
200309,0.74,-0.33
200310,1.08,-0.42
200311,2.19,-0.07
200312,3.31,0.70
200401,2.23,-0.51
200402,2.64,0.30
200403,1.05,-1.12
200404,1.26,-0.29
200405,1.63,0.16
200406,0.89,-0.36
200407,0.71,-0.21
200408,1.39,0.42
200409,1.19,0.12
200410,2.74,1.24
200411,1.62,-0.64
200412,2.81,0.20
200501,2.86,0.12
200502,1.84,-0.50
200503,2.33,0.16
200504,1.93,0.38
200505,2.61,1.14
200506,1.75,0.50
200507,0.52,-0.40
200508,0.88,-0.09
200509,0.76,-0.31
200510,1.67,0.17
200511,2.18,-0.08
200512,3.84,1.23
200601,3.73,0.99
200602,1.53,-0.81
200603,2.81,0.64
200604,2.42,0.87
200605,1.13,-0.34
200606,1.07,-0.18
200607,0.76,-0.16
200608,0.59,-0.38
200609,0.98,-0.09
200610,1.40,-0.10
200611,3.22,0.96
200612,2.35,-0.26
200701,1.30,-1.44
200702,2.44,0.10
200703,1.40,-0.77
200704,1.34,-0.21
200705,1.21,-0.26
200706,0.86,-0.39
200707,0.78,-0.14
200708,0.76,-0.21
200709,1.07,0.00
200710,1.70,0.20
200711,1.38,-0.88
200712,3.20,0.59
200801,3.59,0.85
200802,1.92,-0.42
200803,1.32,-0.85
200804,0.83,-0.72
200805,1.63,0.16
200806,1.01,-0.24
200807,0.68,-0.24
200808,0.97,0.00
200809,0.61,-0.46
200810,0.96,-0.54
200811,2.28,0.02
200812,2.85,0.24
200901,1.84,-0.90
200902,1.93,-0.41
200903,2.03,-0.14
200904,1.37,-0.18
200905,1.49,0.02
200906,1.59,0.34
200907,0.74,-0.18
200908,0.80,-0.17
200909,0.51,-0.56
200910,1.96,0.46
200911,1.53,-0.73
200912,2.05,-0.56
201001,3.41,0.67
201002,1.85,-0.49
201003,1.79,-0.38
201004,2.34,0.79
201005,2.08,0.61
201006,1.68,0.43
201007,0.76,-0.16
201008,0.98,0.01
201009,1.02,-0.05
201010,2.40,0.90
201011,2.39,0.13
201012,4.49,1.88
201101,1.76,-0.98
201102,2.08,-0.26
201103,3.53,1.36
201104,2.16,0.61
201105,2.75,1.28
201106,1.33,0.08
201107,0.95,0.03
201108,0.52,-0.45
201109,0.63,-0.44
201110,1.74,0.24
201111,1.82,-0.44
201112,1.18,-1.43
201201,2.51,-0.23
201202,1.49,-0.85
201203,3.27,1.10
201204,1.88,0.33
201205,1.10,-0.37
201206,1.17,-0.08
201207,1.10,0.18
201208,0.72,-0.25
201209,0.41,-0.66
201210,1.86,0.36
201211,2.51,0.25
201212,3.76,1.15
201301,1.54,-1.20
201302,0.87,-1.47
201303,1.25,-0.92
201304,1.36,-0.19
201305,1.67,0.20
201306,1.10,-0.15
201307,0.94,0.02
201308,1.13,0.16
201309,2.47,1.40
201310,0.75,-0.75
201311,1.53,-0.73
201312,1.18,-1.43
201401,1.24,-1.50
201402,2.81,0.47
201403,2.95,0.78
201404,1.44,-0.11
201405,1.12,-0.35
201406,0.99,-0.26
201407,0.77,-0.15
201408,1.97,1.00
201409,1.50,0.43
201410,1.46,-0.04
201411,2.12,-0.14
201412,3.38,0.77
201501,1.52,-1.22
201502,1.82,-0.52
201503,1.37,-0.80
201504,1.06,-0.49
201505,1.94,0.47
201506,0.77,-0.48
201507,1.24,0.32
201508,0.87,-0.10
201509,0.93,-0.14
201510,1.77,0.27
201511,2.17,-0.09
201512,4.00,1.39
201601,3.25,0.51
201602,1.37,-0.97
201603,2.85,0.68
201604,1.64,0.09
201605,1.51,0.04
201606,0.79,-0.46
201607,0.87,-0.05
201608,0.71,-0.26
201609,1.27,0.20
201610,3.65,2.15
201611,1.90,-0.36
201612,3.13,0.52
201701,4.06,1.32
201702,4.04,1.70
201703,2.84,0.67
201704,2.26,0.71
201705,1.05,-0.42
201706,0.87,-0.38
201707,0.73,-0.19
201708,0.54,-0.43
201709,1.25,0.18
201710,1.21,-0.29
201711,2.62,0.36
201712,1.31,-1.30
201801,2.43,-0.31
201802,1.57,-0.77
201803,2.49,0.32
201804,2.00,0.45
201805,1.39,-0.08
201806,1.09,-0.16
201807,0.72,-0.20
201808,0.68,-0.29
201809,0.49,-0.58
201810,1.85,0.35
201811,1.93,-0.33
201812,2.18,-0.43
201901,2.61,-0.13
201902,4.33,1.99
201903,2.01,-0.16
201904,2.08,0.53
201905,2.36,0.89
201906,0.81,-0.44
201907,0.71,-0.21
201908,0.67,-0.30
201909,1.92,0.85
201910,0.93,-0.57
201911,1.54,-0.72
201912,2.63,0.02
202001,2.78,0.04
202002,1.35,-0.99
202003,2.06,-0.11
202004,1.15,-0.40
202005,1.62,0.15
202006,1.49,0.24
202007,0.42,-0.50
202008,0.28,-0.69
202009,0.57,-0.50
202010,1.02,-0.48
202011,1.88,-0.38
202012,1.74,-0.87
202101,2.48,-0.26
202102,1.97,-0.37
202103,1.26,-0.91
202104,0.61,-0.94
202105,0.92,-0.55
202106,0.52,-0.73
202107,1.02,0.10
202108,1.09,0.12
202109,0.97,-0.10
202110,2.54,1.04
202111,1.77,-0.49
202112,3.69,1.08
202201,1.44,-1.30
